Frame,Time,F0
922,9.22,226.0
923,9.23,226.0
924,9.24,226.0
925,9.25,207.0
926,9.26,207.0
927,9.27,207.0
928,9.28,207.0
929,9.290000000000001,207.0
930,9.3,195.0
931,9.31,195.0
932,9.32,195.0
933,9.33,195.0
934,9.34,195.0
935,9.35,179.0
936,9.36,179.0
937,9.370000000000001,179.0
938,9.38,179.0
939,9.39,179.0
940,9.4,180.0
941,9.41,0.0
942,9.42,0.0
943,9.43,0.0
944,9.44,0.0
945,9.450000000000001,0.0
946,9.46,0.0
947,9.47,0.0
948,9.48,0.0
949,9.49,0.0
950,9.5,0.0
951,9.51,0.0
952,9.52,242.0
953,9.53,242.0
954,9.540000000000001,256.0
955,9.55,256.0
956,9.56,256.0
957,9.57,256.0
958,9.58,256.0
959,9.59,253.0
960,9.6,253.0
961,9.61,253.0
962,9.620000000000001,253.0
963,9.63,253.0
964,9.64,224.0
965,9.65,224.0
966,9.66,224.0
967,9.67,224.0
968,9.68,220.5
969,9.69,217.0
970,9.700000000000001,217.0
971,9.71,217.0
972,9.72,222.0
973,9.73,227.0
974,9.74,227.0
975,9.75,227.0
976,9.76,227.0
977,9.77,227.0
978,9.78,220.0
979,9.790000000000001,0.0
980,9.8,0.0
981,9.81,0.0
982,9.82,0.0
983,9.83,0.0
984,9.84,0.0
985,9.85,0.0
986,9.86,0.0
987,9.870000000000001,0.0
988,9.88,0.0
989,9.89,0.0
990,9.9,0.0
991,9.91,0.0
992,9.92,269.0
993,9.93,269.0
994,9.94,269.0
995,9.950000000000001,269.0
996,9.96,269.0
997,9.97,246.0
998,9.98,246.0
999,9.99,246.0
1000,10.0,246.0
1001,10.01,246.0
1002,10.02,235.0
1003,10.03,235.0
1004,10.040000000000001,0.0
1005,10.05,0.0
1006,10.06,0.0
1007,10.07,0.0
1008,10.08,0.0
1009,10.09,0.0
1010,10.1,0.0
1011,10.11,0.0
1012,10.120000000000001,0.0
1013,10.13,0.0
1014,10.14,0.0
1015,10.15,0.0
1016,10.16,241.0
1017,10.17,241.0
1018,10.18,241.0
1019,10.19,241.0
1020,10.200000000000001,241.0
1021,10.21,237.0
1022,10.22,237.0
1023,10.23,237.0
1024,10.24,237.0
1025,10.25,237.0
1026,10.26,227.0
1027,10.27,227.0
1028,10.28,227.0
1029,10.290000000000001,227.0
1030,10.3,225.0
1031,10.31,225.0
1032,10.32,225.0
1033,10.33,225.0
1034,10.34,225.0
1035,10.35,257.0
1036,10.36,257.0
1037,10.370000000000001,257.0
1038,10.38,257.0
1039,10.39,257.0
1040,10.4,245.0
1041,10.41,245.0
