CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;IN01_01;IN02_01;IN03;IN04_01;QU01;QU02;QU03;QU04;QU05;QU06;QU07;QU08;RA01_01;RA01_02;RA01_03;RA01_04;RA01_05;RA01_06;RA01_07;RA01_08;RA01_09;RA01_10;RA01_11;RA01_12;RA01_13;RA01_14;RA01_15;RA01_16;RA01_17;RA01_18;RA01_21;RA01_22;RA01_23;RA02_01;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME_SUM;MAILSENT;LASTDATA;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE;ComprehensionSum;QuestionnaireVar;condition
378; ; ;BL;interview;2/24/2015;22984878;38;1;xw5c;0;1;0;1;1;1;1;1;6;4;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6;1;6; ;64;26; ;18;15;11;13;8;12;9;40;204; ;2/24/2015;1;11;11;3;2;33;5;38;6;,316176470588235;2
379; ; ;Her;interview;2/24/2015;29496559;42;2;xw5c;1;1;1;1;1;1;1;1;5;4;4;4;4;4;4;6;6;6;6;6;6;5;6;4;4;5;6;1;7;Some speech wasn't very clear. Possibly her animation could be smoother.;85;38;28;13;34;20; ;16;21;13;230;301; ;2/24/2015;1;11;11;0;0;0;0;0;8;,933823529411765;3
384; ; ;Yu;interview;2/24/2015;11338264;50;1;xw5c;1;1;1;1;1;1;1;1;3;2;3;4;5;5;2;2;2;3;6;2;2;2;2;1;2;1;7;1;7;Sometimes she spoke very quickly and other times she spoke slower and was easier to follow;72;51; ;10;34;12;20;9;13;7;114;342; ;2/24/2015;1;11;11;0;0;0;0;0;8;2,09558823529412;4
386; ; ;Yu;interview;2/24/2015;31297454;22;2;xw5c;1;1;1;1;1;1;1;0;2;2;4;2;4;3;2;5;6;5;5;3;5;3;3;3;1;2;7;1;6;Her speech is far from perfect and her lips' movements don't quite match.;42;52; ;6;22;8;11;8;11;9;82;251; ;2/24/2015;1;11;11;0;0;0;7;7;7;2,00735294117647;4
387; ; ;Yu;interview;2/24/2015;30316191;42;1;xw5c;1;1;1;1;1;1;0;1;3;2;3;3;3;3;4;2;4;4;4;3;4;2;4;2;2;3;4;1;5; ;50;49;15;12;30;7; ;10;16;8;73;270; ;2/24/2015;1;11;11;3;2;33;4;37;7;,683823529411765;4
388; ; ;BL;interview;2/24/2015;30901378;36;1;xw5c;1;1;1;1;1;1;1;1;6;3;6;6;4;6;5;7;7;7;7;7;7;7;3;7;3;4;7;1;7;She was very clear and calm;67;116;18;6;31;11;19;6; ;6;50;239; ;2/24/2015;1;11;11;0;0;0;2;2;8;2,61764705882353;2
395; ; ;Her;interview;2/24/2015;gelbomes;43;1;xw5c;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;7;7;7;7;7;7;1;3;1;1;7;1;7;The voice is not the greatest for being able to understand.  It would be nice as a more normal sounding voice.  Make her smile an be more animated.;76;35;17;5; ;9;21;7;16;7;87;280; ;2/24/2015;1;11;11;0;0;0;2;2;8;8,13235294117647;3
396; ; ;Her;interview;2/24/2015;17991051;33;2;xw5c;1;1;1;1;1;1;1;1;7;6;7;7;5;7;6;7;7;6;7;7;7;7;6;6;4;5;7;1;6; ;75;15; ;6;14;17;10;9;9;5;58;218; ;2/24/2015;1;11;11;3;2;33;11;44;8;,845588235294118;3
397; ; ;Her;interview;2/24/2015;30064988;50;1;xw5c;1;1;1;1;1;1;1;1;4;4;3;4;5;4;3;5;5;6;6;5;5;5;3;3;3;2;5;2;5;Armandia's expressions and head movements appeared the same. And she doesn't appear to smile when talking.;142;73;35;8; ;10;28;7;25;8;134;470; ;2/24/2015;1;11;11;0;0;0;0;0;8;1,40441176470588;3
401; ; ;NM;interview;2/24/2015;18668290;31;1;xw5c;1;1;1;1;1;1;1;1;4;3;5;4;4;4;5;4;4;5;4;4;4;4;4;4;5;4;4;1;7; ;35;15;13;4;15;9;17;8; ;5;32;153; ;2/24/2015;1;11;11;3;2;33;19;52;8;,279411764705882;1
403; ; ;NM;interview;2/24/2015;5921708;55;1;xw5c;1;1;1;1;1;1;1;1;4;4;5;4;5;5;5;6;6;6;6;6;6;6;4;6;4;4;7;1;7;She tried to get a reaction from the person (e.g. what do you think about that?) in a couple cases.;124;68;48;7;46;11;37;7; ;6;677;354; ;2/24/2015;1;11;11;0;0;0;0;0;8;,779411764705882;1
404; ; ;Her;interview;2/24/2015;17082683;53;1;xw5c;1;1;1;1;1;1;1;1;4;2;2;3;1;1;2;4;4;3;4;4;4;1;1;1;1;1;5;1;7;Nostrils!!!! They dominate;138;19;13;6;15;6;16;7; ;8;74;302; ;2/24/2015;1;11;11;0;0;0;8;8;8;1,72058823529412;3
